% Model:              capacitor_fringing_fields - sc-2-qw.mph
% Version:            COMSOL 5.1.0.136
% Date:               Dec 19 2018, 15:58
% Dimension:          3
% Nodes:              4260
% Expressions:        1
% Description:        Surface charge density
% Length unit:        nm
% x             y              z              es.nD (C/m^2)
-0.92478        0.51124        1.7944         0.013327
-0.92423        -0.51166       1.7934         0.013618
-0.92423        -0.51166       1.7934         0.013434
-0.92408        0.47594        1.7401         0.013873
-0.92408        0.47594        1.7401         0.014014
-0.92402        -0.47612       1.7402         0.013823
-0.92402        -0.47612       1.7402         0.014045
-0.92381        0.57650        1.9444         0.012522
-0.92381        0.57650        1.9444         0.012518
-0.92280        0.24409        1.5533         0.015831
-0.92280        0.24409        1.5533         0.015915
-0.92266        -0.57845       1.9448         0.012563
-0.92266        -0.57845       1.9448         0.012570
-0.92265        -0.24690       1.5543         0.015865
-0.92265        -0.24690       1.5543         0.015875
-0.91491        0.18858        1.5192         0.016449
-0.91491        0.18858        1.5192         0.016446
-0.91462        0.0000         1.4889         0.016614
-0.91462        0.0000         1.4889         0.017160
-0.91462        0.0000         1.4889         0.017160
-0.91462        0.0000         1.4889         0.016928
-0.91462        0.0000         1.4889         0.017383
-0.91462        0.0000         1.4889         0.016613
-0.91462        -0.61113       2.1000         0.012130
-0.91462        -0.61113       2.1000         0.011998
-0.91462        -0.61113       2.1000         0.011920
-0.91462        0.61113        2.1000         0.011906
-0.91462        0.61113        2.1000         0.012021
-0.91462        0.61113        2.1000         0.011825
-0.91420        -0.19200       1.5192         0.016491
-0.91420        -0.19200       1.5192         0.016690
-0.91091        0.60776        1.9958         0.012272
-0.90967        -0.60969       1.9962         0.012445
-0.90616        0.43982        1.6579         0.014622
-0.90616        0.43982        1.6579         0.014622
-0.90608        -0.44025       1.6582         0.014461
-0.90608        -0.44025       1.6582         0.014810
-0.90398        0.12915        1.4867         0.016982
-0.90344        -0.13156       1.4865         0.017089
-0.90333        0.57557        1.8496         0.012987
-0.90333        0.57557        1.8496         0.013113
-0.90228        -0.57642       1.8477         0.013108
-0.90228        -0.57642       1.8477         0.013111
-0.90088        0.39954        1.6114         0.015128
-0.90083        -0.40054       1.6121         0.015227
-0.90005        0.52219        1.7433         0.013820
-0.89947        0.55661        1.7981         0.013453
-0.89947        0.55661        1.7981         0.013267
-0.89940        -0.52277       1.7426         0.013937
-0.89834        -0.55743       1.7963         0.013454
-0.89834        -0.55743       1.7963         0.013541
-0.89761        0.48588        1.6899         0.014229
-0.89761        0.48588        1.6899         0.014404
-0.89753        -0.48626       1.6901         0.014375
-0.89753        -0.48626       1.6901         0.014218
-0.89640        0.60409        1.8962         0.012774
-0.89507        0.63725        2.0475         0.012187
-0.89507        0.63725        2.0475         0.012071
-0.89467        -0.60648       1.8958         0.012884
-0.89374        -0.63915       2.0479         0.012338
-0.89374        -0.63915       2.0479         0.012048
-0.89294        -0.35950       1.5676         0.015666
-0.89294        -0.35950       1.5676         0.015661
-0.89290        0.35789        1.5665         0.015732
-0.89290        0.35789        1.5665         0.015692
-0.88942        0.069356       1.4565         0.017655
-0.88942        0.069356       1.4565         0.017434
-0.88896        -0.070752      1.4560         0.017549
-0.88896        -0.070752      1.4560         0.017540
-0.88733        0.63100        1.9435         0.012492
-0.88733        0.63100        1.9435         0.012489
-0.88730        0.30842        1.5277         0.016416
-0.88730        0.30842        1.5277         0.016066
-0.88728        -0.31102       1.5290         0.016093
-0.88728        -0.31102       1.5290         0.016102
-0.88476        -0.63481       1.9444         0.012690
-0.88476        -0.63481       1.9444         0.012682
-0.88112        0.25368        1.4924         0.016899
-0.88048        -0.25687       1.4928         0.016692
-0.87396        0.56724        1.7473         0.013799
-0.87396        0.56724        1.7473         0.013800
-0.87281        0.53182        1.6933         0.014188
-0.87281        0.53182        1.6933         0.014189
-0.87274        0.66132        1.9952         0.012271
-0.87274        0.66132        1.9952         0.012394
-0.87269        -0.56820       1.7457         0.013869
-0.87269        -0.56820       1.7457         0.013866
-0.87266        -1.4448E-19    1.4303         0.018336
-0.87266        0.0000         1.4303         0.017934
-0.87266        -0.66968       2.1000         0.011861
-0.87266        0.66968        2.1000         0.011904
-0.87211        0.60077        1.8025         0.013453
-0.87211        0.60077        1.8025         0.013460
-0.87211        0.60077        1.8025         0.013453
-0.87211        0.60077        1.8025         0.013460
-0.87211        0.60077        1.8025         0.013240
-0.87211        0.60077        1.8025         0.013460
-0.87208        -0.53256       1.6928         0.014277
-0.87208        -0.53256       1.6928         0.014274
-0.87199        0.19792        1.4593         0.017390
-0.87199        0.19792        1.4593         0.017387
-0.87072        -0.20168       1.4588         0.017423
-0.87072        -0.20168       1.4588         0.017597
-0.87036        -0.60198       1.7998         0.013501
-0.87036        -0.60198       1.7998         0.013508
-0.87036        -0.60198       1.7998         0.013501
-0.87036        -0.60198       1.7998         0.013508
-0.87036        -0.60198       1.7998         0.013414
-0.87036        -0.60198       1.7998         0.013414
-0.87001        -0.66506       1.9961         0.012585
-0.87001        -0.66506       1.9961         0.012214
-0.86864        0.49450        1.6407         0.014822
-0.86864        0.49450        1.6407         0.014806
-0.86864        0.49450        1.6407         0.014806
-0.86864        0.49450        1.6407         0.014822
-0.86864        0.49450        1.6407         0.014622
-0.86864        0.49450        1.6407         0.014622
-0.86853        -0.49507       1.6411         0.014729
-0.86853        -0.49507       1.6411         0.014663
-0.86853        -0.49507       1.6411         0.015138
-0.86853        -0.49507       1.6411         0.014916
-0.86853        -0.49507       1.6411         0.014731
-0.86853        -0.49507       1.6411         0.014729
-0.86610        0.62990        1.8488         0.013082
-0.86610        0.62990        1.8488         0.013185
-0.86422        0.45482        1.5938         0.015317
-0.86422        0.45482        1.5938         0.015319
-0.86413        -0.45597       1.5947         0.015533
-0.86413        -0.45597       1.5947         0.015407
-0.86369        -0.63267       1.8475         0.013125
-0.86369        -0.63267       1.8475         0.013271
-0.85955        0.13814        1.4276         0.017987
-0.85955        0.13814        1.4276         0.018055
-0.85844        -0.14090       1.4268         0.017987
-0.85844        -0.14090       1.4268         0.017978
-0.85794        0.65743        1.8957         0.012940
-0.85794        0.65743        1.8957         0.012766
-0.85709        0.41377        1.5485         0.015912
-0.85709        0.41377        1.5485         0.015906
-0.85709        -0.41552       1.5498         0.015942
-0.85709        -0.41552       1.5498         0.015951
-0.85470        -0.66163       1.8957         0.013061
-0.85470        -0.66163       1.8957         0.012867
-0.85134        0.69458        2.0475         0.012088
-0.84989        -0.69638       2.0479         0.012015
-0.84761        0.68334        1.9432         0.012723
-0.84761        0.68334        1.9432         0.012667
-0.84761        0.68334        1.9432         0.012667
-0.84761        0.68334        1.9432         0.012507
-0.84761        0.68334        1.9432         0.012507
